,Year,Title,Role,Notes
0,1993,The Substitute,Ryan Westerberg,Television film
1,1993,The Ben Stiller Show,Himself,"Episode: ""A Few Good Scouts"""
2,1993,Out All Night,Himself,"Episode: ""Under My Thumb"""
3,2004200820092010,Entourage,Himself,"""Pilot""""Unlike a Virgin"" (5.2)""Fore"" (6.5)""Tequila and Coke"" (7.7)"
4,2008,Saturday Night Live,Himself,"Episode: ""Josh Brolin/Adele"" (4.5)"
5,2014–2019,Wahlburgers,Himself,36 episodes
6,2020,Ant & Dec's Saturday Night Takeaway,Himself,1 episode; special guest
7,2021,Wahl Street,Himself,
