,Year,Title,Role(s),Notes,Ref.
0,1989,Bionic Showdown: The Six Million Dollar Man and the Bionic Woman,Kate Mason,Television film,[71]
1,1989,Starting from Scratch,Barbara Webster,"Episode: ""Confidence Game""",[72]
2,1989,The Preppie Murder,Stacy,Television film,[73]
3,1990,Working Girl,Tess McGill,12 episodes,[74]
4,1990,Lucky Chances,Maria Santangelo,Miniseries,[75]
5,2002−2004,George Lopez,Accident Amy,3 episodesAlso executive producer,[76][77]
