,Year,Title,Role,Notes,Ref.
121,2016,Eating You Alive,Himself,Documentary film,[144]
122,2017,XXX: Return of Xander Cage,Agent Augustus Gibbons,,[145]
123,2017,Kong: Skull Island,Lt. Col. Preston Packard,,[146]
124,2017,The Hitman's Bodyguard,Darius Kincaid,,[147]
125,2017,Unicorn Store,The Salesman,,[148]
126,2018,Avengers: Infinity War,Nick Fury,Uncredited cameo; post-credits scene,[149]
127,2018,Incredibles 2,Lucius Best / Frozone,Voice,[150]
128,2018,Life Itself,Himself,,[151]
129,2019,Glass,Elijah Price / Mr. Glass,,[152]
130,2019,Captain Marvel,Nick Fury,Digitally de-aged,[153][154]
131,2019,Avengers: Endgame,Nick Fury,,[155]
132,2019,Shaft,John Shaft II,,[156]
133,2019,Spider-Man: Far From Home,Nick Fury,,[157]
134,2019,The Last Full Measure,Billy Takoda,,[158]
135,2019,QT8: The First Eight,Himself,Documentary film,[159]
136,2019,Star Wars: The Rise of Skywalker,Mace Windu,"Cameo, voice",[160]
137,2020,The Banker,Joe Morris,Also executive producer,[161]
138,2021,Spiral: From the Book of Saw,Marcus Banks,,[162]
139,2021,Hitman's Wife's Bodyguard,Darius Kincaid,,[163]
140,2021,The Protégé,Moody Dutton,,[164]
141,2022,Paws of Fury: The Legend of Hank,Jimbo,"Post-production, voice",[165]
142,2023,Ant-Man and the Wasp: Quantumania,Nick Fury,Post-production,[166]
143,2023,The Marvels,Nick Fury,Filming,[166]
144,TBA,Argylle,,Filming,[167]
