,Year,Title,Role,Notes
0,2009,Surrogates,Executive producer,
1,2012,Pitch Perfect,Producer,
2,2015,Pitch Perfect 2,Producer,
3,2017,The Most Hated Woman in America,Producer,
4,2017,"Yours Sincerely, Lois Weber",Executive producer,Documentary short
5,2017,Pitch Perfect 3,Producer,
6,2019,Charlie's Angels,Producer,
7,2023,Cocaine Bear,Producer,
