,".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}vteElizabeth Banks",".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}vteElizabeth Banks.1"
0,Filmography,Filmography
1,Film,Director Movie 43 (2013; co-directed) Pitch Perfect 2 (2015; also produced) Charlie's Angels (2019; also produced) Cocaine Bear (2023; also produced) Producer Surrogates (2009) Pitch Perfect (2012) Walk of Shame (2014) Pitch Perfect 3 (2017) The Most Hated Woman in America (2017)
2,Director,Movie 43 (2013; co-directed) Pitch Perfect 2 (2015; also produced) Charlie's Angels (2019; also produced) Cocaine Bear (2023; also produced)
3,Producer,Surrogates (2009) Pitch Perfect (2012) Walk of Shame (2014) Pitch Perfect 3 (2017) The Most Hated Woman in America (2017)
4,Television executive produced,Resident Advisors (2015) Shrill (2019–present) Press Your Luck (2019–present)
5,Related articles,Brownstone Productions Pitch Perfect franchise Max Handelman (husband)
