,Year,Title,Role,Notes
0,2015,Resident Advisors,Executive producer,7 episodes
1,2017,The Trustee,Executive producer,Pilot
2,2018,Project 13,Executive producer,Pilot
3,2019–2021,Shrill,Executive producer,22 episodes
4,2019–present,Press Your Luck,Executive producer,Game show
5,TBA,Pitch Perfect: Bumper in Berlin,Executive producer,Upcoming series
6,TBA,DC Super Hero High,Executive producer,Upcoming series[2]
