,Year,Title,Role,Notes,Refs.
0,2008,The Brightonomicon,Count Otto Black,,
1,2009,The Screwtape Letters,Screwtape,,
2,2014,The Child,Engler,,
3,2019,The Beast of Buckingham Palace,Lord Protector,,
4,2020,The Sandman,Matthew the Raven,,
5,2020,The Hobbit,Narrator/Performer,,[22]
6,2021,The Lord of the Rings,Narrator/Performer,,[23]
7,2021,The Sandman: Act II,Matthew the Raven,,[24]
