,Year,Title,Role,Director,Notes
119,2015,Kingsman: The Secret Service,Arthur / Chester King,Matthew Vaughn,
120,2015,Youth,Fred Ballinger,Paolo Sorrentino,
121,2015,The Last Witch Hunter,Father Dolan,Breck Eisner,
122,2016,Now You See Me 2,Arthur Tressler,Jon M. Chu,
123,2017,Going in Style,Joe Harding,Zach Braff,
124,2017,Dunkirk,Fortis Leader,Christopher Nolan,Uncredited voice cameo[8]
125,2017,My Generation,Himself,David Batty,Documentary film
126,2018,Dear Dictator,General Anton Vincent,Lisa Addario & Joe Syracuse,
127,2018,Sherlock Gnomes,Lord Redbrick,John Stevenson,Voice
128,2018,King of Thieves,Brian Reader,James Marsh,
129,2020,Come Away,Charlie,Brenda Chapman,
130,2020,Four Kids and It,Psammead,Andy De Emmony,Voice
131,2020,Tenet,Sir Michael Crosby,Christopher Nolan,
132,2021,Twist,Fagin,Martin Owen,
133,2021,Best Sellers,Harris Shaw,Lina Roessler,
134,2022,Medieval,Lord Boresh,Petr Jákl,Post-production
135,2022,The Great Escaper,Bernard Jordan,Oliver Parker,Pre-production
