,".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}vteTom Hanks",".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}vteTom Hanks.1"
0,Filmography Awards and nominations,Filmography Awards and nominations
1,Films directed,That Thing You Do! (1996) Larry Crowne (2011)
2,Films written,That Thing You Do! (1996) Magnificent Desolation: Walking on the Moon 3D (2005) Larry Crowne (2011) Greyhound (2020)
3,Films produced,Cast Away (2000) My Big Fat Greek Wedding (2002) Connie and Carla (2004) Magnificent Desolation: Walking on the Moon 3D (2005) The Ant Bully (2006) Starter for 10 (2006) Charlie Wilson's War (2007) City of Ember (2008) The Great Buck Howard (2008) Where the Wild Things Are (2009) Larry Crowne (2011) Parkland (2013) My Big Fat Greek Wedding 2 (2016) A Hologram for the King (2016) The Circle (2017) News of the World (2020)
4,TV series created,Band of Brothers (2001)
5,Family,Rita Wilson (wife) Chet Hanks (son) Colin Hanks (son) Jim Hanks (brother) Larry Hanks (brother)
6,Related,Playtone David S. Pumpkins Halloween Special Toy Story Sheriff Woody
